gamesPlayed,gamesStarted,wins,losses,era,inningsPitched,strikeOuts,whip,strikeoutWalkRatio,homeRunsPer9,saves,player_name,B/T,Ht,Wt,DOB
3,0,0,0,10.8,3.1,0,2.7,0.0,8.1,0,Colin Holderman,R/R,"6'4""",230,10/08/1995
214,2,16,19,3.29,205.0,273,1.21,3.21,0.75,63,Luis L. Ortiz,R/R,"6'2""",235,01/27/1999
140,140,51,37,3.27,799.1,862,1.13,3.41,0.92,0,Jalen Beeks,L/L,"5'11""",215,07/10/1993
169,0,11,19,2.67,178.1,229,1.08,4.24,0.81,58,Dennis Santana,R/R,"6'2""",190,04/12/1996
790,0,55,45,2.65,754.1,1239,1.11,3.15,0.61,329,Aroldis Chapman,L/L,"6'4""",235,02/28/1988
2,0,0,0,13.5,2.0,1,2.0,-.--,9.0,0,David Bednar,L/R,"6'0""",225,10/10/1994
160,25,11,18,4.76,296.2,308,1.3,3.28,1.21,2,Ryan Borucki,L/L,"6'4""",210,03/31/1994
290,61,24,28,4.5,560.0,611,1.33,2.46,1.3,2,Bailey Falter,R/L,"6'4""",205,04/24/1997
